total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts,customer_id
7.0,129.34,52.17,18.0,0.0,CM00000
22.0,24.18,9.19,15.0,7.0,CM00001
2.0,32.18,90.69,50.0,2.0,CM00002
25.0,26.85,11.22,16.0,10.0,CM00003
7.0,125.45,34.19,30.0,3.0,CM00004
12.0,199.56,43.39,20.0,3.0,CM00005
23.0,43.48,13.11,12.0,10.0,CM00006
27.0,46.58,7.2,14.0,7.0,CM00007
9.0,35.1,9.24,25.0,8.0,CM00008
30.0,40.69,16.34,21.0,8.0,CM00009
5.0,62.6,77.2,49.0,2.0,CM00010
6.0,60.77,78.66,53.0,4.0,CM00011
13.0,105.96,40.82,21.0,6.0,CM00012
21.0,26.34,14.85,14.0,7.0,CM00013
13.0,100.0,28.4,20.0,2.0,CM00014
15.0,101.29,51.21,21.0,2.0,CM00015
28.0,21.48,5.64,9.0,5.0,CM00016
15.0,48.23,5.76,19.0,11.0,CM00017
9.0,167.25,42.02,23.0,2.0,CM00018
24.0,42.0,22.01,17.0,9.0,CM00019
4.0,37.21,97.61,50.0,3.0,CM00020
25.0,23.37,25.43,10.0,9.0,CM00021
22.0,20.49,13.49,16.0,6.0,CM00022
5.0,53.25,118.66,43.0,0.0,CM00023
6.0,55.45,85.37,46.0,0.0,CM00024
9.0,167.57,50.32,21.0,2.0,CM00025
6.0,29.86,65.17,54.0,0.0,CM00026
5.0,196.93,51.28,22.0,3.0,CM00027
3.0,71.22,76.43,54.0,2.0,CM00028
9.0,180.97,41.96,13.0,4.0,CM00029
7.0,177.98,42.14,23.0,1.0,CM00030
10.0,159.86,51.02,17.0,0.0,CM00031
17.0,13.66,22.08,11.0,9.0,CM00032
13.0,145.42,36.43,13.0,2.0,CM00033
3.0,54.62,89.83,51.0,1.0,CM00034
22.0,46.98,26.84,17.0,9.0,CM00035
12.0,117.71,47.02,9.0,3.0,CM00036
7.0,73.25,115.03,63.0,0.0,CM00037
12.0,187.29,52.41,20.0,3.0,CM00038
24.0,29.22,23.46,21.0,11.0,CM00039
16.0,45.23,10.94,12.0,12.0,CM00040
6.0,55.15,60.26,49.0,1.0,CM00041
5.0,38.11,99.57,54.0,0.0,CM00042
29.0,11.88,14.92,14.0,9.0,CM00043
22.0,11.48,20.79,16.0,16.0,CM00044
22.0,18.26,29.67,18.0,10.0,CM00045
6.0,119.62,42.21,21.0,1.0,CM00046
16.0,158.27,57.66,16.0,5.0,CM00047
6.0,49.86,80.43,58.0,2.0,CM00048
18.0,16.87,17.0,13.0,9.0,CM00049
8.0,37.37,87.37,37.0,1.0,CM00050
12.0,197.09,30.09,20.0,5.0,CM00051
4.0,51.23,73.65,58.0,0.0,CM00052
19.0,13.42,10.33,11.0,10.0,CM00053
4.0,45.09,115.76,45.0,0.0,CM00054
20.0,21.73,15.23,13.0,10.0,CM00055
8.0,102.57,27.23,30.0,1.0,CM00056
27.0,37.52,28.18,23.0,5.0,CM00057
4.0,65.22,94.53,51.0,1.0,CM00058
6.0,73.75,113.7,58.0,0.0,CM00059
